Symbol,Name,Sector
HIW,"Highwoods Properties",Financials
HLIT,"Harmonic Inc","Information Technology"
HLX,"Helix Energy Solutions Group Inc",Energy
HME,"Home Properties of New York",Financials
HMN,"Horace Mann Educators",Financials
HMSY,"HMS Holdings Corp","Health Care"
HNI,"HNI Corp",Industrials
HNT,"Health Net Inc","Health Care"
HOG,"Harley-Davidson Inc","Consumer Discretionary"
HOLX,"Hologic Inc","Health Care"
HOMB,"Home Bancshares",Financials
HON,"Honeywell Intl Inc",Industrials
HOS,"Hornbeck Offshore Services",Energy
HOT,"Starwood Hotel & Resort World","Consumer Discretionary"
HP,"Helmerich & Payne Inc",Energy
HPQ,"Hewlett-Packard Co","Information Technology"
HPT,"Hospitality Properties Trust",Financials
HPY,"Heartland Payment Systems","Information Technology"
HR,"Healthcare Realty Trust",Financials
HRB,"Block H & R Inc","Consumer Discretionary"
HRC,"Hill-Rom Holdings Inc","Health Care"
HRL,"Hormel Foods Corp","Consumer Staples"
HRS,"Harris Corp","Information Technology"
HSC,"Harsco Corp",Industrials
HSH,"The Hillshire Brands Co.","Consumer Staples"
HSIC,"Schein	Health Care",
HSII,"Heidrick & Struggles Intl Inc",Industrials
HSNI,"HSN Inc","Consumer Discretionary"
HSP,"Hospira	Health Care",
HST,"Host Hotels & Resorts Inc",Financials
HSTM,"HealthStream Inc.","Health Care"
HSY,"Hershey Foods Corp","Consumer Staples"
HTLD,"Heartland Express Inc",Industrials
HUB_B,"Hubbell Inc B",Industrials
HUBG,"Hub Group Inc A",Industrials
HUM,"Humana Inc","Health Care"
HVT,"Haverty Furniture","Consumer Discretionary"
HW,"Headwaters Inc",Materials
HWAY,"Healthways Inc","Health Care"
HWKN,"Hawkins Inc.",Materials
HZO,"MarineMax Inc","Consumer Discretionary"
IART,"Integra Lifesciences Hldg","Health Care"
IBKR,"Interactive Brokers Group A",
IBM,"Intl Business Machines Corp","Information Technology"
IBOC,"Intl Bancshares Corp",Financials
ICE,IntercontinentalExchange,Financials
ICON,"Iconix Brand Group","Consumer Discretionary"
ICUI,"ICU Medical Inc","Health Care"
IDA,"IDACORP Inc",Utilities
IDCC,"InterDigital Inc.","Information Technology"
IDTI,"Integrated Device Technology","Information Technology"
IDXX,"IDEXX Laboratories Inc","Health Care"
IEX,"IDEX Corp",Industrials
IFF,"Intl Flavors & Fragrances",Materials
IGT,"Intl Game Technology","Consumer Discretionary"
IGTE,"iGATE Corp.","Information Technology"
IILG,"Interval Leisure Group","Consumer Discretionary"
IIVI,"II-VI Inc",Industrials
IM,"Ingram Micro Inc A","Information Technology"
INDB,"Independent Bank Cp (MA)",Financials
INFA,"Informatica Corp","Information Technology"
INGR,"Ingredion Inc.","Consumer Staples"
ININ,"Interactive Intelligence Inc",Technology
INT,"World Fuel Services Corp",Energy
INTC,"Intel Corp","Information Technology"
INTU,"Intuit Inc","Information Technology"
IO,"ION Geophysical Corp",Energy
IP,"Intl Paper Co",Materials
IPAR,"Inter Parfums Inc.","Consumer Staples"
IPCC,"Infinity Property & Casualty Ins Corp",Financials
IPCM,"IPC The Hospitalist Co Inc","Health Care"
IPG,"Interpublic Group Cos","Consumer Discretionary"
IPHS,"Innophos Holdings",Materials
IPI,"Intrepid Potash Inc","Basic Materials"
IPXL,"Impax Laboratories","Health Care"
IR,"Ingersoll-Rand plc",Industrials
IRBT,"iRobot Corp.","Consumer Discretionary"
IRC,"Inland Real Estate Corp",Financials
IRF,"Intl Rectifier Corp","Information Technology"
IRM,"Iron Mountain Inc",Industrials
ISCA,"Intl Speedway Corp A","Consumer Discretionary"
ISIL,"Intersil Corp A","Information Technology"
ISRG,"Intuitive Surgical Inc","Health Care"
IT,"Gartner Inc","Information Technology"
ITG,"Investment Technology Group",Financials
ITRI,"Itron Inc","Information Technology"
ITT,"ITT Corporation",Industrials
ITW,"Illinois Tool Works Inc",Industrials
IVAC,"Intevac Inc","Information Technology"
IVC,"Invacare Corp","Health Care"
IVZ,"Invesco Ltd",Financials
JACK,"Jack in the Box Inc","Consumer Discretionary"
JAH,"Jarden Corp.","Consumer Discretionary"
JAKK,"JAKKS Pacific Inc","Consumer Discretionary"
JBHT,"Hunt	Industrials",
JBL,"Jabil Circuit Inc","Information Technology"
JBLU,"JetBlue Airways Corp",Industrials
JBT,"John Bean Technologies Corp",Industrials
JCI,"Johnson Controls Inc","Consumer Discretionary"
JCOM,"J2 Global Communications Inc","Information Technology"
JCP,"Penney	Consumer Discretionary",
JDSU,"JDS Uniphase Corp","Information Technology"
JEC,"Jacobs Engineering Group Inc",Industrials
JJSF,"J&J Snack Foods","Consumer Staples"
JKHY,"Henry	Information Technology",
JLL,"Jones Lang Lasalle Inc",Financials
JNJ,"Johnson & Johnson","Health Care"
JNPR,"Juniper Networks Inc","Information Technology"
JNS,"Janus Capital Group Inc",Financials
JOY,"Joy Global Inc",Industrials
JPM,"JP Morgan Chase & Co",Financials
JW_A,"John Wiley & Sons	Consumer Discretionary",
JWN,"Nordstrom Inc","Consumer Discretionary"
K,"Kellogg Co","Consumer Staples"
KALU,"Kaiser Aluminum",
KAMN,"Kaman Corp A",Industrials
KATE,"Kate Spade & Company","Consumer Discretionary"
KBH,"KB Home","Consumer Discretionary"
KBR,"KBR Inc",Industrials
KELYA,"Kelly Services A",Industrials
KEX,"Kirby Corp",Industrials
KEY,KeyCorp,Financials
KFY,"Korn Ferry Intl",Industrials
KIM,"Kimco Realty Corp",Financials
KIRK,"Kirkland's Inc",
KLAC,"KLA-Tencor Corporation","Information Technology"
KLIC,"Kulicke & Soffa Industries","Information Technology"
KMB,Kimberly-Clark,"Consumer Staples"
KMI,"Kinder Morgan, Inc.",Energy
KMPR,"Kemper Corporation",Financials
KMT,"Kennametal Inc",Industrials
KMX,"Carmax Inc","Consumer Discretionary"
KN,"Knowles Corp.","Information Technology"
KND,"Kindred Healthcare Inc","Health Care"
KNX,"Knight Transportation Inc",Industrials
KO,"Coca-Cola Co","Consumer Staples"
KOP,"Koppers Holdings Inc.",Materials
KOPN,"Kopin Corp","Information Technology"
KORS,"Michael Kors Holdings Limited","Consumer Discretionary"
KR,"Kroger Co","Consumer Staples"
KRA,"Kraton Performance Polymers Inc.",Materials
KRC,"Kilroy Realty Corp",Financials
KRFT,"Kraft Foods Group Inc.","Consumer Staples"
KRG,"Kite Realty Group Trust",Financials
KS,"KapStone Paper and Packaging Corp.",Materials
KSS,"Kohl's Corp","Consumer Discretionary"
KSU,"Kansas City Southern Inc",Industrials
KWR,"Quaker Chemical Corp",Materials
L,"Loews Corp",Financials
LAD,"Lithia Motors Inc A","Consumer Discretionary"
LAMR,"Lamar Advertising Co A","Consumer Discretionary"
LANC,"Lancaster Colony Corp","Consumer Staples"
LB,"L Brands, Inc.","Consumer Discretionary"
LCI,"Lannett Company Inc.","Health Care"
LDL,"Lydall Inc",Industrials
LDOS,"Leidos Holdings, Inc.","Information Technology"
LDR,"Landauer Inc","Health Care"
LECO,"Lincoln Electric Hldgs",Industrials
LEG,"Leggett & Platt","Consumer Discretionary"
LEN,"Lennar Corp","Consumer Discretionary"
LFUS,"Littelfuse Inc","Information Technology"
LG,"Laclede Group Inc",Utilities
LGND,"Ligand Pharmaceuticals Inc.","Health Care"
LH,"Lab Corp of America Hldgs","Health Care"
LHCG,"LHC Group","Health Care"
LHO,"LaSalle Hotel Properties SBI",Financials
LII,"Lennox International Inc",Industrials
LKQ,"LKQ Corp","Consumer Discretionary"
LL,"Lumber Liquidators Holdings Inc",Services
LLL,"L-3 Communications Holdings",Industrials
LLTC,"Linear Technology Corp","Information Technology"
LLY,"Lilly	Health Care",
LM,"Legg Mason Inc",Financials
LMNX,"Luminex Corp.","Health Care"
LMOS,"Lumos Networks Corp.",Telecommunications
LMT,"Lockheed Martin",Industrials
LNC,"Lincoln National Corp",Financials
LNCE,"Lance Inc","Consumer Staples"
LNN,"Lindsay Corporation",Industrials
LNT,"Alliant Energy Corp",Utilities
LO,"Lorillard Inc","Consumer Staples"
LOGM,"LogMeIn Inc.","Information Technology"
LOW,"Lowe's Cos Inc","Consumer Discretionary"
LPNT,"Lifepoint Hospitals","Health Care"
LPSN,"LivePerson Inc.","Information Technology"
LPT,"Liberty Property Trust",Financials
LPX,"Louisiana Pacific Corp",Materials
LQDT,"Liquidity Services",
LRCX,"Lam Research Corp","Information Technology"
LSTR,"Landstar System Inc",Industrials
LTC,"LTC Properties",Financials
LTM,"Life Time Fitness Inc","Consumer Discretionary"
LUK,"Leucadia National Corp (NY)",Financials
LUV,"Southwest Airlines Co",Industrials
LXK,"Lexmark International Inc","Information Technology"
LXP,"Lexington Realty Trust",Financials
LXU,"LSB Industries Inc","Consumer Goods"
LYB,"LyondellBasell Industries NV",Materials
LYV,"Live Nation Entertainment	Consumer Discretionary",
LZB,"La-Z Boy Inc","Consumer Discretionary"
M,"Macy's Inc","Consumer Discretionary"
MA,"Mastercard Inc A","Information Technology"
MAA,"Mid-America Apt Communties",Financials
MAC,"Macerich Co",Financials
MAN,"Manpower Inc",Industrials
MANH,"Manhattan Associates Inc","Information Technology"
MANT,"Mantech Intl Corp A","Information Technology"
MAR,"Marriott Intl A","Consumer Discretionary"
MAS,"Masco Corp",Industrials
MASI,"Masimo Corp","Health Care"
MAT,"Mattel Inc","Consumer Discretionary"
MATW,"Matthews Intl Corp A","Consumer Discretionary"
MATX,"Matson Inc.",Financials
MBFI,"MB Financial Inc.",Financials
MCD,"McDonald's Corp","Consumer Discretionary"
MCF,"Contango Oil & Gas Co.",Energy
MCHP,"Microchip Technology Inc","Information Technology"
MCK,"McKesson Corp","Health Care"
MCO,"Moody's Corp",Financials
MCRI,"Monarch Casino & Resort Inc","Consumer Discretionary"
MCRL,"Micrel Inc","Information Technology"
MCRS,"MICROS Systems Inc","Information Technology"
MCS,"Marcus Corp","Consumer Discretionary"
MCY,"Mercury General Corp",Financials
MD,"Mednax Inc","Health Care"
MDC,"MDC Holdings Inc","Consumer Discretionary"
MDCO,"The Medicines Company","Health Care"
MDLZ," Mondelez International Inc","Consumer Staples"
MDP,"Meredith Corp","Consumer Discretionary"
MDRX,"Allscript Healthcare Solutions Inc",
MDSO,"Medidata Solutions, Inc.","Health Care"
MDT,"Medtronic Inc","Health Care"
MDU,"MDU Resources Group Inc",Utilities
MEAS,"Measurement Specialties Inc.","Information Technology"
MED,"Medifast Inc",Services
MEI,"Methode Electronics Inc","Information Technology"
MENT,"Mentor Graphics Corp","Information Technology"
MET,"Metlife Inc",Financials
MGAM,"Multimedia Games Inc","Consumer Discretionary"
MGLN,"Magellan Health Services","Health Care"
MHFI,"McGraw-Hill Cos Inc","Consumer Discretionary"
MHK,"Mohawk Industries Inc","Consumer Discretionary"
MHO,"M_I Schottenstein Homes","Consumer Discretionary"
MIG,"Meadowbrook Insurance Group Inc.",Financials
MINI,"Mobile Mini Inc",Industrials
MJN,"Mead Johnson Nutrition Co","Consumer Goods"
MKC,"McCormick & Co","Consumer Staples"
MKSI,"MKS Instruments Inc","Information Technology"
MKTX,"MarketAxess Holdings Inc.",Financials
MLHR,"Miller	Industrials",
MLI,"Mueller Industries",Industrials
MLM,"Martin Marietta Materials",Materials
MMC,"Marsh & McLennan Companies",Financials
MMM,"3M Co",Industrials
MMS,"MAXIMUS Inc","Information Technology"
MMSI,"Merit Medical Systems Inc","Health Care"
MNK,"Mallinckrodt plc","Health Care"
MNRO,"Monro Muffler Brake","Consumer Discretionary"
MNST,"Monster Beverage Corporation","Consumer Staples"
MNTA,"Momenta Pharmaceuticals, Inc.","Health Care"
MO,"Altria Group Inc","Consumer Staples"
MOG_A,"Moog Inc A",Industrials
MOH,"Molina Healthcare","Health Care"
MON,"Monsanto Co.",Materials
MOS,"The Mosaic Company",Materials
MOV,"Movado Group Inc","Consumer Discretionary"
MPC,"Marathon Petroleum Corp.",Energy
MPW,"Medical Properties Trust",Financials
MPWR,"Monolitic Power Systems",
MRCY,"Mercury Computer Systems Inc","Information Technology"
MRK,"Merck & Co Inc","Health Care"
MRO,"Marathon Oil Corp",Energy
MS,"Morgan Stanley",Financials
MSA,"Mine Safety Appliances",Industrials
MSCC,"Microsemi Corp","Information Technology"
MSCI,"MSCI Inc-A",
MSFT,"Microsoft Corp","Information Technology"
MSI,"Motorola Inc","Information Technology"
MSM,"MSC Industrial Direct A",Industrials
MSTR,"MicroStrategy Inc A",Technology
MTB,"M&T Bank Corp",Financials
MTD,"Mettler-Toledo Intl","Health Care"
MTH,"Meritage Corp","Consumer Discretionary"
MTRN,"Materion Corp.",Materials
MTRX,"Matrix Service Co",Energy
MTSC,"MTS Systems Corp","Information Technology"
MTX,"Minerals Technologies Inc",Materials
MU,"Micron Technology Inc","Information Technology"
MUR,"Murphy Oil Corp",Energy
MUSA,"Murphy USA Inc.","Consumer Discretionary"
MW,"Men's Wearhouse Inc","Consumer Discretionary"
MWIV,"MWI Veterinary Supply","Health Care"
MWV,"MeadWestvaco Corp",Materials
MWW,"Monster Worldwide Inc",Industrials
MYE,"Myers Industries Inc",Materials
MYL,"Mylan Inc.","Health Care"
NANO,"Nanometrics Inc.","Information Technology"
NATI,"National Instruments Corp","Information Technology"
NAVG,"Navigators Group Inc",Financials
NAVI,"Navient Corp.",Finance
NBL,"Noble Energy Inc",Energy
NBR,"Nabors Industries Ltd",Energy
NBTB,"NBT Bancorp Inc (NY)",Financials
NCI,"Navigant Consulting Co",Industrials
NCR,"NCR Corp","Information Technology"
NDAQ,"Nasdaq OMX Group_The",Financials
NDSN,"Nordson Corp",Industrials
NE,"Noble Corp.",Energy
NEE,"NextEra Energy Inc",Utilities
NEM,"Newmont Mining Corp",Materials
NEOG,"Neogen Corp","Health Care"
NEU,"NewMarket Corp",Materials
NEWP,"Newport Corp","Information Technology"
NFG,"National Fuel Gas",Utilities
NFLX,"NetFlix Inc","Consumer Discretionary"
NFX,"Newfield Exploration Co",Energy
NI,"Nisource Inc",Utilities
NILE,"Blue Nile Inc","Consumer Discretionary"
NJR,"New Jersey Resources Corp",Utilities
NKE,"NIKE Inc B","Consumer Discretionary"
NLSN,"Nielsen Holdings N.V.",Industrials
NNN,"National Retail Properties Inc",Financials
NOC,"Northrop Grumman Corp",Industrials
NOG,"Northern Oil and Gas Inc.",Energy
NOV,"National Oilwell Varco Inc",Energy
NP,"Neenah Paper Inc",Materials
NPBC,"National Penn Bancshares (PA)",Financials
NPK,"National Presto Industries","Consumer Discretionary"
NPO,"EnPro Industries Inc",Industrials
NR,"Newpark Resources Inc.",Energy
NRG,"NRG Energy",Utilities
NSC,"Norfolk Southern Corp",Industrials
NSIT,"Insight Enterprises Inc","Information Technology"
NSP,"Insperity, Inc.",Industrials
NSR,NeuStar,"Information Technology"
NTAP,"NetApp Inc","Information Technology"
NTCT,"Netscout Systems Inc","Information Technology"
NTGR,"Netgear Inc","Information Technology"
NTLS,"NTELOS Hldg",Technology
NTRI,"NutriSystem	Consumer Discretionary",
NTRS,"Northern Trust Corp (IL)",Financials
NU,"Northeast Utilities",Utilities
NUE,"Nucor Corp",Materials
NUVA,"NuVasive Inc.","Health Care"
NVDA,"Nvidia Corp","Information Technology"
NVR,"NVR Inc","Consumer Discretionary"
NWBI,"Northwest Bancshares Inc.",Financials
NWE,"Northwestern Corp",Utilities
NWL,"Newell Rubbermaid Inc","Consumer Discretionary"
NWN,"Northwest Natural Gas Co",Utilities
NWSA,"News Corporation","Consumer Discretionary"
NX,"Quanex Building Products Corporation",Industrials
NYCB,"New York Community Bancorp Inc",Financials
NYT,"New York Times Co A","Consumer Discretionary"
O,"Realty Income Corp",Financials
OCR,"Omnicare Inc","Health Care"
ODFL,"Old Dominion Freight Line Inc",Industrials
ODP,"Office Depot Inc","Consumer Discretionary"
OFC,"Corporate Office Properties Trust",Financials
OGE,"OGE Energy Corp",Utilities
OGS,"ONE Gas Inc.",Utilities
OHI,"Omega Healthcare Investors",Financials
OI,"Owens-Illinois Inc",Materials
OII,"Oceaneering Intl Inc",Energy
OIS,"Oil States Intl Inc",Energy
OKE,"ONEOK Inc",Utilities
OLN,"Olin Corp",Materials
OMC,"Omnicom Group","Consumer Discretionary"
OMCL,"Omnicell Inc","Health Care"
OMG,"OM Group",Materials
OMI,"Owens & Minor Inc","Health Care"
ONB,"Old National Bancorp (DE)",Financials
ONE,"Higher One Holdings","Information Technology"
OPEN,"OpenTable, Inc","Information Technology"
OPLK,"Oplink Communications, Inc.","Information Technology"
ORB,"Orbital Sciences Corp",Industrials
ORCL,"Oracle Corp","Information Technology"
ORI,"Old Republic Intl Corp",Financials
ORIT,"Oritani Financial Corp.",Financials
ORLY,"O'Reilly Automotive","Consumer Discretionary"
ORN,"ORION MARINE GRP",
OSIS,"OSI Systems Inc",Technology
OSK,"Oshkosh Corporation",Industrials
OUTR,"Outerwall Inc.","Consumer Discretionary"
OXM,"Oxford Industries Inc","Consumer Discretionary"
OXY,"Occidental Petroleum",Energy
OZRK,"Bank of the Ozarks Inc.",Financials
PACW,"PacWest Bancorp",Financials
PAY,"VeriFone Systems Inc.","Information Technology"
PAYX,"Paychex Inc","Information Technology"
PB,"Prosperity Bancshares Inc",Financials
PBCT,"People's United Financial Inc",Financials
PBH,"Prestige Brands Holdings Inc.","Consumer Staples"
PBI,"Pitney Bowes Inc",Industrials
PBY,"Pep Boys-Manny	Consumer Discretionary",
PCAR,"PACCAR Inc",Industrials
PCG,"PG&E Corporation",Utilities
PCH,"Potlatch Corp",Financials
PCL,"Plum Creek Timber Co",Financials
PCLN,"Priceline.com Inc","Consumer Discretionary"
PCP,"Precision Castparts Corp",Industrials
PDCE,"PDC Energy, Inc.",Energy
PDCO,"Patterson Cos Inc","Health Care"
PEG,"Public Service Enterprise Grp",Utilities
PEI,"Pennsylvania Real Estate",Financials
PEP,"PepsiCo Inc","Consumer Staples"
PERY,"Perry Ellis Intl Corp","Consumer Discretionary"
PES,"Pioneer Energy Services Corp.",Energy
PETM,"PETsMART Inc","Consumer Discretionary"
PETS,"PetMed Express.com Inc","Consumer Discretionary"
PFE,"Pfizer Inc","Health Care"
PFG,"Principal Financial Group",Financials
PFS,"Provident Financial Services Inc.",Financials
PG,"Procter & Gamble","Consumer Staples"
PGR,"Progressive Corp",Financials
PGTI,"PGT Inc.",Industrials
PH,"Parker-Hannifin Corp",Industrials
PHM,"Pulte Group Inc","Consumer Discretionary"
PII,"Polaris Inds Inc","Consumer Discretionary"
PJC,"Piper Jaffray Cos",Financials
PKE,"Park Electrochemical","Information Technology"
PKG,"Packaging Corp of America",Materials
PKI,"PerkinElmer Inc","Health Care"
PKT,"Procera Networks, Inc.","Information Technology"
PKY,"Parkway Properties Inc (MD)",Financials
PL,"Protective Life Corp",Financials
PLCE,"Children's Place Retail Stores","Consumer Discretionary"
PLCM,"Polycom Inc","Information Technology"
PLD,"Prologis (AMB Property Corp)",Financials
PLL,"Pall Corp",Industrials
PLT,"Plantronics Inc","Information Technology"
PLXS,"Plexus Corp","Information Technology"
PM,"Philip Morris International","Consumer Staples"
PMC,"PharMerica Corp","Health Care"
PNC,"PNC Finl Services Group",Financials
PNFP,"Pinnacle Financial",Financials
PNK,"Pinnacle Entertainment Inc","Consumer Discretionary"
PNM,"PNM Resources Inc",Utilities
PNR,"Pentair Inc",Industrials
PNRA,"Panera Bread Co A","Consumer Discretionary"
PNW,"Pinnacle West Capital (AZ)",Utilities
PNY,"Piedmont Natural Gas Inc",Utilities
POL,"PolyOne Corp",Materials
POM,"Pepco Holdings Inc",Utilities
POOL,"Pool Corp","Consumer Discretionary"
POST,"Post Holdings, Inc.","Consumer Staples"
POWI,"Power Integrations Inc.","Information Technology"
POWL,"Powell Industries","Industrial Goods"
PPG,"PPG Industries Inc",Materials
PPL,"PPL Corp",Utilities
PPS,"Post Properties Inc",Financials
PQ,"Petroquest Energy Inc",Energy
PRA,"ProAssurance Corp",Financials
PRAA,"Portfolio Recovery Associates Inc",Financials
PRFT,"Perficient Inc","Information Technology"
PRGO,"Perrigo Co","Health Care"
PRGS,"Progress Software Corp","Information Technology"
PRI,"Primerica Inc.",Financials
PRU,"Prudential Financial Inc",Financials
PRXL,"PAREXEL Intl Corp","Health Care"
PSA,"Public Storage",Financials
PSB,"PS Business Parks Inc",Financials
PSEM,"Pericom Semiconductor Corp","Information Technology"
PSX,"Phillips 66",Energy
PTC,"PTC Inc.","Information Technology"
PTEN,"Patterson-UTI Energy Inc",Energy
PVA,"Penn Virginia Corp",Energy
PVH,"Phillips-Van Heusen Corp","Consumer Discretionary"
PVTB,"PrivateBancorp Inc",Financials
PWR,"Quanta Services Inc",Industrials
PX,"Praxair Inc",Materials
PXD,"Pioneer Natural Resources",Energy
PZZA,"Papa John's Intl Inc","Consumer Discretionary"
QCOM,"QUALCOMM Inc","Information Technology"
QCOR,"Questcor Pharmaceuticals Inc.","Health Care"
QEP,"QEP Resources",
QLGC,"QLogic Corp","Information Technology"
QNST,"QuinStreet, Inc.","Information Technology"
QSII,"Quality Systems Inc","Health Care"
R,"Ryder System Inc",Industrials
RAI,"Reynolds American Inc","Consumer Staples"
RAX,"Rackspace Hosting Inc",
RBC,"Regal Beloit Corp",Industrials
RBCN,"Rubicon Technology Inc.","Information Technology"
RCII,"Rent-A-Center Inc","Consumer Discretionary"
RDC,"Rowan Companies Inc",Energy
RE,"Everest Re Group Ltd",Financials
RECN,"Resources Connection Inc.",Industrials
REG,"Regency Centers Corp",Financials
REGN,"Regeneron Pharmaceuticals Inc","Health Care"
RF,"Regions Financial Corp",Financials
RFMD,"RF Micro Devices Inc","Information Technology"
RGA,"Reinsurance Group of America",Financials
RGEN,"Repligen Corporation","Health Care"
RGLD,"Royal Gold, Inc.",Materials
RGR,"Sturm	Consumer Discretionary",
RGS,"Regis Corp","Consumer Discretionary"
RHI,"Robert Half Intl Inc",Industrials
RHT,"Red Hat Inc","Information Technology"
RIG,"Transocean Ltd.",Energy
RJF,"Raymond James Financial Inc",Financials
RKT,"Rock-Tenn A",Materials
RL,"Polo Ralph Lauren A","Consumer Discretionary"
RLI,"RLI Corp",Financials
RMD,"ResMed Inc","Health Care"
RNR,"RenaissanceRe Holdings Ltd.",Finance
ROCK,"Gibraltar Industries Inc",Industrials
ROG,"Rogers Corp","Information Technology"
ROIC,"Retail Opportunity Investments Corp.",Financials
ROK,"Rockwell Automation Inc",Industrials
ROL,"Rollins Inc",Industrials
ROP,"Roper Industries Inc",Industrials
ROSE,"Rosetta Resources Inc.",Energy
ROST,"Ross Stores Inc","Consumer Discretionary"
ROVI,"Rovi Corp","Information Technology"
RPM,"RPM International Inc.",Materials
RRC,"Range Resources Corp",Energy
RRD,"Donnelley	Industrials",
RRGB,"Red Robin Gourmet Burgers","Consumer Discretionary"
RRTS,"Roadrunner Transportation Systems Inc.",Industrials
RS,"Reliance Steel & Aluminum",Materials
RSG,"Republic Services Inc",Industrials
RSTI,"Rofin-Sinar Technologies Inc.","Information Technology"
RT,"Ruby Tuesday Inc","Consumer Discretionary"
RTEC,"Rudolph Technologies Inc","Information Technology"
RTI,"RTI International Metals Inc",Materials
RTN,"Raytheon Co",Industrials
RUTH,"Ruth's Hospitality Group	Consumer Discretionary",
RVBD,"Riverbed Technology Inc.","Information Technology"
RYL,"Ryland Group Inc","Consumer Discretionary"
RYN,"Rayonier Inc",Financials
SAFM,"Sanderson Farms","Consumer Staples"
SAFT,"Safety Insurance Group Inc",Financials
SAH,"Sonic Automotive A","Consumer Discretionary"
SAIA,"Saia Inc.",Industrials
SAIC,"Science Applications International Corp.","Consumer Discretionary"
SAM,"Boston Beer Inc A","Consumer Staples"
SANM,"Sanmina Corp.","Information Technology"
SBNY,"Signature Bank NY",Financials
SBRA,"Sabra Health Care REIT, Inc.",Financials
SBUX,"Starbucks Corp","Consumer Discretionary"
SCG,"SCANA Corp",Utilities
SCHL,"Scholastic Corp","Consumer Discretionary"
SCHW,"Schwab	Financials",
SCI,"Service Corp Intl","Consumer Discretionary"
SCL,"Stepan Co",Materials
SCOR,"Comscore Inc","Information Technology"
SCSC,"ScanSource Inc","Information Technology"
SCSS,"Select Comfort Corp.","Consumer Discretionary"
SE,"Spectra Energy Corp",Energy
SEE,"Sealed Air Corp",Materials
SEIC,"SEI Investments Corp",Financials
SENEA,"Seneca Foods Corp.","Consumer Staples"
SF,"Stifel Financial Corp",Financials
SFG,"StanCorp Financial Group Inc",Financials
SFNC,"Simmons 1st Natl Corp A",Financials
SFY,"Swift Energy Co",Energy
SGMS,"Scientific Games Corp A","Consumer Discretionary"
SGY,"Stone Energy Corp",Energy
SHLM,"Schulman	Materials",
SHOO,"Steven Madden Ltd",
SHW,"Sherwin-Williams Co","Consumer Discretionary"
SIAL,"Sigma-Aldrich Corp",Materials
SIG,"Signet Jewelers Limited","Consumer Discretionary"
SIGI,"Selective Insurance Group Inc",Financials
SIRO,"Sirona Dental Systems Inc.","Health Care"
SIVB,"SVB Financial Group",Financials
SJI,"South Jersey Industries Inc",Utilities
SJM,"Smucker	Consumer Staples",
SKT,"Tanger Factory Outlet Centers",Financials
SKX,"Skechers USA Inc A","Consumer Discretionary"
SKYW,"SkyWest Inc",Industrials
SLAB,"Silicon Laboratories Inc","Information Technology"
SLB,"Schlumberger Ltd",Energy
SLCA,"U.S. Silica Holdings Inc.",Materials
SLG,"SL Green Realty Corp",Financials
SLGN,"Silgan Hldgs Inc","Consumer Goods"
SLH,"Solera Holdings Inc","Information Technology"
SLM,"SLM Corp",Financials
SLXP,"Salix Pharmaceuticals Ltd","Health Care"
SM,"SM Energy Co",Energy
SMA,"Symmetry Medical","Health Care"
SMCI,"Super Micro Computer, Inc.","Information Technology"
SMG,"Scotts Co A",Materials
SMP,"Standard Motor Products","Consumer Discretionary"
SMRT,"Stein Mart Inc","Consumer Discretionary"
SMTC,"Semtech Corp","Information Technology"
SNA,"Snap On Inc",Industrials
SNCR,"Synchronoss Technologies Inc.","Information Technology"
SNDK,"SanDisk Corp","Information Technology"
SNH,"Senior Housing Properties Trst",Financials
SNI,"Scripps Networks Interactive","Consumer Discretionary"
SNPS,"Synopsys Inc","Information Technology"
SNV,"Synovus Financial Corp (GA)",Financials
SNX,"Synnex Corp","Information Technology"
SO,"Southern Co",Utilities
SON,"Sonoco Products Co",Materials
SONC,"Sonic Corp","Consumer Discretionary"
SPAR,"Spartan Motors Inc","Consumer Discretionary"
SPF,"Standard Pacific Corp","Consumer Discretionary"
SPG,"Simon Property Group",Financials
SPLS,"Staples Inc","Consumer Discretionary"
SPN,"Superior Energy Services Inc",Energy
SPPI,"Spectrum Pharmaceuticals, Inc.","Health Care"
SPTN,"Spartan Stores Inc","Consumer Staples"
SPW,"SPX Corp",Industrials
SRCL,"Stericycle Inc",Industrials
SRDX,"SurModics Inc","Health Care"
SRE,"Sempra Energy",Utilities
SSD,"Simpson Manufacturing Co Inc",Industrials
SSI,"Stage Stores Inc","Consumer Discretionary"
SSP,"EW Scripps Company","Consumer Discretionary"
SSS,"Sovran Self Storage",Financials
STBA,"S & T Bancorp Inc (IN)",Financials
STC,"Stewart Information Services A",Financials
STE,"STERIS Corp","Health Care"
STI,"SunTrust Banks Inc (GA)",Financials
STJ,"St Jude Medical Inc","Health Care"
STL,"Sterling Bancorp.",Financials
STLD,"Steel Dynamics Inc",Materials
STMP,"Stamps.com Inc","Consumer Discretionary"
STR,"Questar Corp",Utilities
STRA,"Strayer Education Inc","Consumer Discretionary"
STT,"State Street Corp",Financials
STX,"Seagate Technology plc","Information Technology"
STZ,"Constellation Brands Inc A","Consumer Staples"
SUNE,"SunEdison, Inc.","Information Technology"
SUP,"Superior Industries Intl","Consumer Discretionary"
SUSQ,"Susquehanna Bancshares (PA)",Financials
SVU,"Supervalu Inc","Consumer Staples"
SWC,"Stillwater Mining Co.",Materials
SWI,"SolarWinds Inc.","Information Technology"
